"Saferpay GiroPay","Saferpay GiroPay"
"Saferpay EPS","Saferpay EPS"
"Saferpay iDeal","Saferpay iDeal"
"Saferpay Paypal","Saferpay Paypal"
"Saferpay Maestro Online","Saferpay Maestro Online"
"Saferpay Credit Card","Saferpay Credit Card"
"Saferpay ELV Online","Saferpay ELV Online"
"Saferpay Postfinance","Saferpay Postfinance"
"Billpay Rechnungskauf","Billpay Rechnungskauf"
"Billpay Lastschrift","Billpay Lastschrift"
"mpass","mpass"
"ClickandBuy","ClickandBuy"
"Authorized Payment","Authorized Payment"
"Saferpay Settings","Saferpay Settings"
"Account-ID","Account-ID"
"Determine which Saferpay account the transactions will be made through. The merchant is sent a Saferpay Account ID after signing a contract with Saferpay. Test transactions can be made with the Account ID: 99867-94913159","Feld zur Angabe der beim CreatePayInit zu übergebenden ACCOUNTID. Als Standardwert (nach Installation des Moduls) sollte die AccountId des Testaccounts "99867-94913159" eingetragen sein."
"Hosting Password","Hosting Passwort"
"Is only needed for the Saferpay test account (the password for this is: XAjc3Kna) and for accounts with a Saferpay Business contract. For accounts with an E-Commerce contract, please leave this field empty.","Zur Angabe des beim Saferpay Testaccount und Accounts mit Business Konfiguration benötigten Parameters spPassword. Als Standardwert (nach Installation des Moduls) sollte das PW: XAjc3Kna vom Testaccount eingetragen sein. Wenn Feld leer dann keine Übergabe von spPassword."
"SSL Access Method","SSL Access Method"
"Determine whether the SSL file access occurs using the PHP function file or curl. The functions must be activated in the local PHP environment. For questions, please contact your system administrator.","Umschalter zwischen file und curl zum SSL Dateizugriff."
"PayInit URL","PayInit URL"
"URL for establishing the payment link. Only change this value if requested to do so by Saferpay. The default value is: https://www.saferpay.com/hosting/CreatePayInit.asp","Als Standardwert (nach Installation des Moduls) sollte der Wert: https://www.saferpay.com/hosting/CreatePayInit.asp lauten."
"PayComplete URL","PayComplete URL"
"URL for verification of the authorization reply. Only change this value if requested to do so by Saferpay. The default value is: https://www.saferpay.com/hosting/VerifyPayConfirm.asp","Als Standardwert (nach Installation des Moduls) sollte der Wert: https://www.saferpay.com/hosting/VerifyPayConfirm.asp lauten"
"VerifySig URL","VerifySig URL"
"URL for booking the transaction: Only change this value if requested to do so by Saferpay. The default value is: https://www.saferpay.com/hosting/PayComplete.asp","Als Standardwert (nach Installation des Moduls) sollte der Wert: https://www.saferpay.com/hosting/PayComplete.asp lauten."
"VTCONFIG","VTCONFIG"
"The name of a configuration set up in Saferpay Backoffice can be entered here. These configuration settings will then be used. For example, configurations enable the integration of a merchant logo on the payment page.","Feld zur Angabe des Namens einer im Backoffice definierten Payment Page Konfiguration. Der angegebene Name wird dann beim CreatePayInit mit dem Parameter VTCONFIG übergeben um die Einstellungen der entsprechenden Payment Page Konfiguration zu nutzen. Wenn Feld leer dann keine Übergabe von VTCONFIG."
"Enabled","Enabled"
"Title","Title"
"Provider ID","Provider ID"
"This is the option of not displaying all activated payment methods on the payment page. If provider ID’s of one or more payment methods are entered here (separated with a comma) only the corresponding methods will be displayed on the payment page. If no entry is made, then all payment means are displayed. If you have questions regarding the provider ID's for the payment methods activated for your account, please send an email with your account ID at integration@saferpay.com.","Feld zur Angabe von Providerid's. Erlaubt die Einschränkung der, in der Payment Page angezeigten, Zahlungsmittel. Wenn Feld leer dann keine Übergabe von PROVIDERSET."
"Payment from Applicable Countries","Zahlung aus zutreffenden Ländern"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Payment Action","Payment Action"
"Determine whether the transactions shall be automatically booked if the authorization is successful. The booking can generally also subsequently be made manually using Saferpay Backoffice.","Möglichkeit die nach erfolgreicher Autorisation direkt oder nicht."
"Sort Order","Sortierreihenfolge"
"Giropay (via Saferpay E-Commerce)","Giropay (via Saferpay E-Commerce)"
"EPS (via Saferpay E-Commerce)","EPS (via Saferpay E-Commerce)"
"iDeal (via Saferpay E-Commerce)","iDeal (via Saferpay E-Commerce)"
"PayPal (via Saferpay E-Commerce)","PayPal (via Saferpay E-Commerce)"
"Maestro (via Saferpay E-Commerce)","Maestro (via Saferpay E-Commerce)"
"Credit Cards (via Saferpay E-Commerce)","Credit Cards (via Saferpay E-Commerce)"
"ELV (via Saferpay E-Commerce)","ELV (via Saferpay E-Commerce)"
"Postfinance (via Saferpay E-Commerce)","Postfinance (via Saferpay E-Commerce)"
